"Times","Climate.Scenario","Rainfall.Change"
28.5,"CEH_1.1",0.0908223971863034
29,"CEH_1.1",0.144176737607614
29.5,"CEH_1.1",0.202241790075092
30,"CEH_1.1",0.148670866473584
0,"CEH_2.1",1.10372693794779
0.5,"CEH_2.1",1.03333099621045
1,"CEH_2.1",1.04091650518554
1.5,"CEH_2.1",1.00660283608856
2,"CEH_2.1",0.765467084995682
2.5,"CEH_2.1",0.79363217787209
3,"CEH_2.1",0.726525472816519
3.5,"CEH_2.1",0.618532945305267
4,"CEH_2.1",0.614587127305584
4.5,"CEH_2.1",0.530807741707332
5,"CEH_2.1",0.626658893250531
5.5,"CEH_2.1",0.49768219039096
6,"CEH_2.1",0.456850546148726
6.5,"CEH_2.1",0.444718193225569
7,"CEH_2.1",0.502076256201548
7.5,"CEH_2.1",0.360027961364438
8,"CEH_2.1",0.443662311121804
8.5,"CEH_2.1",0.488809714684334
9,"CEH_2.1",0.513584129131757
9.5,"CEH_2.1",0.345840694697181
10,"CEH_2.1",0.510652241744886
10.5,"CEH_2.1",0.531751235379164
11,"CEH_2.1",0.542001989486307
11.5,"CEH_2.1",0.523968105377193
12,"CEH_2.1",0.422665268345813
12.5,"CEH_2.1",0.640277800511861
13,"CEH_2.1",0.573464884825944
13.5,"CEH_2.1",0.699584945243237
14,"CEH_2.1",0.558253516905575
14.5,"CEH_2.1",0.665176482889337
15,"CEH_2.1",0.669255137184124
15.5,"CEH_2.1",0.717483709378052
16,"CEH_2.1",0.865147544293835
16.5,"CEH_2.1",0.836568689773566
17,"CEH_2.1",0.816913209239608
17.5,"CEH_2.1",1.01550035780671
18,"CEH_2.1",0.993899463238522
18.5,"CEH_2.1",1.06475156522366
19,"CEH_2.1",1.05493077412696
19.5,"CEH_2.1",1.06223807676121
20,"CEH_2.1",1.1304913865494
20.5,"CEH_2.1",1.09964745337691
21,"CEH_2.1",1.17447583422324
21.5,"CEH_2.1",1.18142438115181
22,"CEH_2.1",1.07663566783085
22.5,"CEH_2.1",1.19548923031271
23,"CEH_2.1",1.16173556952448
23.5,"CEH_2.1",1.03067414419581
24,"CEH_2.1",1.14293294775097
24.5,"CEH_2.1",1.17905257891529
25,"CEH_2.1",0.989852429812157
25.5,"CEH_2.1",1.09634569697481
26,"CEH_2.1",0.997614104391192
26.5,"CEH_2.1",0.908761470871654
27,"CEH_2.1",0.954654507371965
27.5,"CEH_2.1",0.86428293347522
28,"CEH_2.1",0.772532025910622
28.5,"CEH_2.1",0.839665322517612
29,"CEH_2.1",0.803375166290487
29.5,"CEH_2.1",0.626794828207164
30,"CEH_2.1",0.610179106839925
0,"CEH_3.1",1.18446612674743
0.5,"CEH_3.1",1.11390335492636
1,"CEH_3.1",1.1010427484855
1.5,"CEH_3.1",0.991256102893126
2,"CEH_3.1",1.1203911292508
2.5,"CEH_3.1",1.03305409191308
3,"CEH_3.1",0.989092169454211
3.5,"CEH_3.1",1.06769790865175
4,"CEH_3.1",0.982908514310311
4.5,"CEH_3.1",1.01827834771129
5,"CEH_3.1",0.997971159276584
5.5,"CEH_3.1",0.987596766276864
6,"CEH_3.1",0.95894824013346
6.5,"CEH_3.1",0.838377660242201
7,"CEH_3.1",0.994743901179372
7.5,"CEH_3.1",0.796586949725434
8,"CEH_3.1",0.892275237547492
8.5,"CEH_3.1",0.78835522064482
9,"CEH_3.1",0.841843402611408
9.5,"CEH_3.1",0.919098857103824
10,"CEH_3.1",0.884061484938368
10.5,"CEH_3.1",0.86918828539027
11,"CEH_3.1",0.929383778648286
11.5,"CEH_3.1",0.994595161996673
12,"CEH_3.1",0.985720123034744
12.5,"CEH_3.1",0.893380199494383
13,"CEH_3.1",0.979098767370701
13.5,"CEH_3.1",0.87558510136407
14,"CEH_3.1",0.993944503866291
14.5,"CEH_3.1",0.87701886169587
15,"CEH_3.1",0.936615680102646
15.5,"CEH_3.1",1.00118029880031
16,"CEH_3.1",1.0137571055098
16.5,"CEH_3.1",1.02437672004669
17,"CEH_3.1",1.10229561425365
17.5,"CEH_3.1",1.07131921011762
18,"CEH_3.1",1.17296391973556
18.5,"CEH_3.1",1.06351360884083
19,"CEH_3.1",1.16399538745007
19.5,"CEH_3.1",1.23261726296944
20,"CEH_3.1",1.31673877097934
20.5,"CEH_3.1",1.22794443791388
21,"CEH_3.1",1.24554266665955
21.5,"CEH_3.1",1.28392849850336
22,"CEH_3.1",1.37891621047748
22.5,"CEH_3.1",1.44890375437451
23,"CEH_3.1",1.28015139537917
23.5,"CEH_3.1",1.31942360934584
24,"CEH_3.1",1.35942769245264
24.5,"CEH_3.1",1.49999484144231
25,"CEH_3.1",1.39473275153364
25.5,"CEH_3.1",1.51254536121947
26,"CEH_3.1",1.46339031808665
26.5,"CEH_3.1",1.5927949212809
27,"CEH_3.1",1.52884297675574
27.5,"CEH_3.1",1.49059213040819
28,"CEH_3.1",1.67147066734142
28.5,"CEH_3.1",1.55270111858336
29,"CEH_3.1",1.55153238318586
29.5,"CEH_3.1",1.59175562740801
30,"CEH_3.1",1.6669833092736
0,"CEH_4.1",1.0555840275716
0.5,"CEH_4.1",1.08015271756721
1,"CEH_4.1",0.968389505554074
1.5,"CEH_4.1",1.01489865769594
2,"CEH_4.1",0.889035629493698
2.5,"CEH_4.1",0.921944296811834
3,"CEH_4.1",0.824078694234004
3.5,"CEH_4.1",0.882613982543638
4,"CEH_4.1",0.940542991338551
4.5,"CEH_4.1",0.840651466484893
5,"CEH_4.1",0.866449504545112
5.5,"CEH_4.1",0.846658519776438
6,"CEH_4.1",0.75075827909947
6.5,"CEH_4.1",0.619800490605634
7,"CEH_4.1",0.618313160815652
7.5,"CEH_4.1",0.718554681643907
8,"CEH_4.1",0.682692326040959
8.5,"CEH_4.1",0.506222744982244
9,"CEH_4.1",0.672412556617504
9.5,"CEH_4.1",0.530550345989453
10,"CEH_4.1",0.496118071710296
10.5,"CEH_4.1",0.583359436231135
11,"CEH_4.1",0.501632620240791
11.5,"CEH_4.1",0.422744278492354
12,"CEH_4.1",0.416988309186468
12.5,"CEH_4.1",0.494236396084644
13,"CEH_4.1",0.366716672908522
13.5,"CEH_4.1",0.456774963202587
14,"CEH_4.1",0.531107370768795
14.5,"CEH_4.1",0.326228668226751
15,"CEH_4.1",0.332087195861846
15.5,"CEH_4.1",0.330822147721649
16,"CEH_4.1",0.351534165895337
16.5,"CEH_4.1",0.459895063388763
17,"CEH_4.1",0.359846028390239
17.5,"CEH_4.1",0.326776171203635
18,"CEH_4.1",0.500105264166054
18.5,"CEH_4.1",0.428994409388675
19,"CEH_4.1",0.379145663715055
19.5,"CEH_4.1",0.386255528535261
20,"CEH_4.1",0.410875574431393
20.5,"CEH_4.1",0.395789131984844
21,"CEH_4.1",0.481416714027833
21.5,"CEH_4.1",0.527308110222943
22,"CEH_4.1",0.442025933875877
22.5,"CEH_4.1",0.606237447728246
23,"CEH_4.1",0.447399792448279
23.5,"CEH_4.1",0.58430321902612
24,"CEH_4.1",0.533192165348772
24.5,"CEH_4.1",0.502751556676225
25,"CEH_4.1",0.522114376515128
25.5,"CEH_4.1",0.581768124343663
26,"CEH_4.1",0.592059333217844
26.5,"CEH_4.1",0.599453421513566
27,"CEH_4.1",0.59669467806825
27.5,"CEH_4.1",0.640488717860028
28,"CEH_4.1",0.700188738418676
28.5,"CEH_4.1",0.708065437654455
29,"CEH_4.1",0.802620936359653
29.5,"CEH_4.1",0.845903763297011
30,"CEH_4.1",0.839861708577482
0,"CEH_5.1",1.02918878663331
0.5,"CEH_5.1",0.955537845817977
1,"CEH_5.1",0.938781711668918
1.5,"CEH_5.1",0.791974311875619
2,"CEH_5.1",0.714974404796975
2.5,"CEH_5.1",0.585054690916693
3,"CEH_5.1",0.56917342071154
3.5,"CEH_5.1",0.669038233851028
4,"CEH_5.1",0.489614453179744
4.5,"CEH_5.1",0.64122077201622
5,"CEH_5.1",0.63718804230992
5.5,"CEH_5.1",0.575228590483457
6,"CEH_5.1",0.690397495492439
6.5,"CEH_5.1",0.745239013771489
7,"CEH_5.1",0.842229451599164
7.5,"CEH_5.1",0.899568085671823
8,"CEH_5.1",1.10571006429306
8.5,"CEH_5.1",1.05664813905827
9,"CEH_5.1",1.20346907513249
9.5,"CEH_5.1",1.27918062391208
10,"CEH_5.1",1.30633820007541
10.5,"CEH_5.1",1.33674641316085
11,"CEH_5.1",1.45910336093992
11.5,"CEH_5.1",1.56105988333644
12,"CEH_5.1",1.40477055066062
12.5,"CEH_5.1",1.36245177800519
13,"CEH_5.1",1.47236226895556
13.5,"CEH_5.1",1.27743896889071
14,"CEH_5.1",1.20790577147127
14.5,"CEH_5.1",1.21885195150883
15,"CEH_5.1",1.0978629719885
15.5,"CEH_5.1",0.959581054372866
16,"CEH_5.1",0.899018824434877
16.5,"CEH_5.1",0.68743463306208
17,"CEH_5.1",0.722702921054176
17.5,"CEH_5.1",0.648462157765465
18,"CEH_5.1",0.502339872708743
18.5,"CEH_5.1",0.465433542234663
19,"CEH_5.1",0.458994077866631
19.5,"CEH_5.1",0.324708314861362
20,"CEH_5.1",0.498865861343764
20.5,"CEH_5.1",0.460898507776729
21,"CEH_5.1",0.550375379510634
21.5,"CEH_5.1",0.594326689731489
22,"CEH_5.1",0.609870178790502
22.5,"CEH_5.1",0.740162108862959
23,"CEH_5.1",0.832971032495982
23.5,"CEH_5.1",0.795136602922965
24,"CEH_5.1",0.940463971217355
24.5,"CEH_5.1",0.980255805580363
25,"CEH_5.1",1.05690518077503
25.5,"CEH_5.1",1.22088610985695
26,"CEH_5.1",1.24539526262857
26.5,"CEH_5.1",1.37670834810701
27,"CEH_5.1",1.37176013525542
27.5,"CEH_5.1",1.22833994890744
28,"CEH_5.1",1.28920248839032
28.5,"CEH_5.1",1.2425679632567
29,"CEH_5.1",1.16126822106589
29.5,"CEH_5.1",1.24967508402576
30,"CEH_5.1",0.993555089404243
